negatives
"frozenset({'P83876', 'AndrogenReceptor', 'O75643'})"
"frozenset({'AndrogenReceptor', 'Q99570', 'P46379'})"
"frozenset({'P35372', 'AndrogenReceptor', 'O95467'})"
"frozenset({'Q9NR56', 'P17844', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q15811', 'P63010'})"
"frozenset({'Q6QNY0', 'AndrogenReceptor', 'O14645'})"
"frozenset({'Q8NE86', 'Q9GZU5', 'AndrogenReceptor'})"
"frozenset({'O75044', 'P60953', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O60739', 'Q15056'})"
"frozenset({'P13501', 'AndrogenReceptor', 'P46060'})"
"frozenset({'P50222', 'AndrogenReceptor', 'P21673'})"
"frozenset({'Q02556', 'Q04206', 'AndrogenReceptor'})"
"frozenset({'Q96A73', 'AndrogenReceptor', 'Q9NYB0'})"
"frozenset({'Q9UQR1', 'AndrogenReceptor', 'Q9BSM1'})"
"frozenset({'P25025', 'AndrogenReceptor', 'P42261'})"
"frozenset({'Q7Z7A1', 'P58546', 'AndrogenReceptor'})"
"frozenset({'Q13485', 'AndrogenReceptor', 'Q8N6K7'})"
"frozenset({'Q6A162', 'Q969G3', 'AndrogenReceptor'})"
"frozenset({'P55040', 'Q68D86', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P04637', 'P50914'})"
"frozenset({'P62877', 'AndrogenReceptor', 'Q7L590'})"
"frozenset({'AndrogenReceptor', 'Q9UBB9', 'Q9Y371'})"
"frozenset({'Q8WYA0', 'Q9UG01', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P83731', 'Q9Y6H1'})"
"frozenset({'Q8N448', 'P46108', 'AndrogenReceptor'})"
"frozenset({'Q99832', 'AndrogenReceptor', 'P67775'})"
"frozenset({'P11413', 'Q8IWL3', 'AndrogenReceptor'})"
"frozenset({'P54253', 'O75626', 'AndrogenReceptor'})"
"frozenset({'P62873', 'AndrogenReceptor', 'P27986'})"
"frozenset({'P51665', 'AndrogenReceptor', 'Q9ULK4'})"
"frozenset({'O14933', 'A0AVT1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P35916', 'Q9Y279'})"
"frozenset({'AndrogenReceptor', 'Q14999', 'Q8N684'})"
"frozenset({'Q8N5L8', 'AndrogenReceptor', 'Q96KN7'})"
"frozenset({'P30153', 'AndrogenReceptor', 'P05129'})"
"frozenset({'P0DP23', 'Q15628', 'AndrogenReceptor'})"
"frozenset({'Q07666', 'P23246', 'AndrogenReceptor'})"
"frozenset({'P07315', 'P04792', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q92956', 'Q99873'})"
"frozenset({'Q9NX04', 'O00444', 'AndrogenReceptor'})"
"frozenset({'Q9ULH0', 'AndrogenReceptor', 'P02751'})"
"frozenset({'P47897', 'P46940', 'AndrogenReceptor'})"
"frozenset({'Q9BQ04', 'Q9P2K5', 'AndrogenReceptor'})"
"frozenset({'Q92905', 'AndrogenReceptor', 'Q96AE4'})"
"frozenset({'Q13683', 'Q9UKX5', 'AndrogenReceptor'})"
"frozenset({'Q9P2F6', 'AndrogenReceptor', 'P62993'})"
"frozenset({'O95639', 'AndrogenReceptor', 'Q9H0L4'})"
"frozenset({'O60568', 'Q13535', 'AndrogenReceptor'})"
"frozenset({'Q9H040', 'Q7Z2W4', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P29590', 'P16104'})"
"frozenset({'Q96L33', 'AndrogenReceptor', 'P98171'})"
"frozenset({'Q3ZCQ8', 'Q9GZQ8', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q14653', 'Q08999'})"
"frozenset({'O60488', 'AndrogenReceptor', 'O95573'})"
"frozenset({'Q6AWC2', 'AndrogenReceptor', 'Q9ULE0'})"
"frozenset({'AndrogenReceptor', 'Q13555', 'Q4G163'})"
"frozenset({'AndrogenReceptor', 'Q14999', 'Q9UMS4'})"
"frozenset({'P21506', 'AndrogenReceptor', 'Q13263'})"
"frozenset({'P14770', 'P07948', 'AndrogenReceptor'})"
"frozenset({'Q14192', 'AndrogenReceptor', 'Q9NZN8'})"
"frozenset({'Q3LI66', 'AndrogenReceptor', 'Q96LJ7'})"
"frozenset({'P04080', 'AndrogenReceptor', 'P30480'})"
"frozenset({'P22612', 'AndrogenReceptor', 'Q96R45'})"
"frozenset({'Q53HL2', 'P12883', 'AndrogenReceptor'})"
"frozenset({'Q6BDS2', 'AndrogenReceptor', 'Q01167'})"
"frozenset({'AndrogenReceptor', 'P06748', 'O00567'})"
"frozenset({'Q9ULX3', 'O14980', 'AndrogenReceptor'})"
"frozenset({'Q7L5N1', 'Q9HC29', 'AndrogenReceptor'})"
"frozenset({'Q13395', 'AndrogenReceptor', 'P26639'})"
"frozenset({'Q96FV9', 'AndrogenReceptor', 'Q6PI77'})"
"frozenset({'P16949', 'AndrogenReceptor', 'P40763'})"
"frozenset({'Q7L5N1', 'AndrogenReceptor', 'Q92466'})"
"frozenset({'Q9BX66', 'Q00534', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P63215', 'O60840'})"
"frozenset({'P84085', 'Q99459', 'AndrogenReceptor'})"
"frozenset({'P83881', 'Q02543', 'AndrogenReceptor'})"
"frozenset({'Q13616', 'P10827', 'AndrogenReceptor'})"
"frozenset({'P04040', 'O60684', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9NRR5', 'P01160'})"
"frozenset({'P27348', 'AndrogenReceptor', 'Q8IUF1'})"
"frozenset({'Q9GZZ9', 'AndrogenReceptor', 'O00148'})"
"frozenset({'Q504Q3', 'AndrogenReceptor', 'P68032'})"
"frozenset({'Q9NR97', 'Q9NYK1', 'AndrogenReceptor'})"
"frozenset({'Q53ET0', 'AndrogenReceptor', 'O43741'})"
"frozenset({'O14980', 'AndrogenReceptor', 'Q9NZQ3'})"
"frozenset({'Q15466', 'AndrogenReceptor', 'Q9UBV8'})"
"frozenset({'Q00613', 'O95817', 'AndrogenReceptor'})"
"frozenset({'Q9UBF6', 'Q13617', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'A6NL08', 'P22612'})"
"frozenset({'AndrogenReceptor', 'P26373', 'Q13233'})"
"frozenset({'AndrogenReceptor', 'P21796', 'P30536'})"
"frozenset({'Q13509', 'AndrogenReceptor', 'Q96AZ1'})"
"frozenset({'AndrogenReceptor', 'Q9BQ75', 'P08473'})"
"frozenset({'AndrogenReceptor', 'P62993', 'Q9NRW1'})"
"frozenset({'Q9UKX7', 'AndrogenReceptor', 'Q5JU00'})"
"frozenset({'AndrogenReceptor', 'O00273', 'Q9HC24'})"
"frozenset({'Q06609', 'O00716', 'AndrogenReceptor'})"
"frozenset({'Q53T94', 'P46934', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P68400', 'Q7KZ85'})"
"frozenset({'O75530', 'AndrogenReceptor', 'Q14690'})"
"frozenset({'Q13485', 'AndrogenReceptor', 'P35222'})"
"frozenset({'P62807', 'AndrogenReceptor', 'Q96NY9'})"
"frozenset({'Q8TEB7', 'AndrogenReceptor', 'P04637'})"
"frozenset({'Q5JUX0', 'Q9BUA3', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P24941', 'P62857'})"
"frozenset({'O60885', 'AndrogenReceptor', 'Q86YD7'})"
"frozenset({'P17612', 'Q9UN42', 'AndrogenReceptor'})"
"frozenset({'P63167', 'AndrogenReceptor', 'Q86W92'})"
"frozenset({'Q8N1F7', 'Q96DB2', 'AndrogenReceptor'})"
"frozenset({'Q96PU8', 'Q9UKM9', 'AndrogenReceptor'})"
"frozenset({'O43395', 'P68400', 'AndrogenReceptor'})"
"frozenset({'Q96HR3', 'P10828', 'AndrogenReceptor'})"
"frozenset({'O00763', 'P01106', 'AndrogenReceptor'})"
"frozenset({'Q9H8Y8', 'AndrogenReceptor', 'P02511'})"
"frozenset({'Q9UKB1', 'O95785', 'AndrogenReceptor'})"
"frozenset({'Q00535', 'P56817', 'AndrogenReceptor'})"
"frozenset({'O15344', 'AndrogenReceptor', 'Q96IK5'})"
"frozenset({'P25705', 'AndrogenReceptor', 'Q9NZJ7'})"
"frozenset({'P29992', 'Q13315', 'AndrogenReceptor'})"
"frozenset({'P08238', 'Q01518', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q5T619', 'Q12933'})"
"frozenset({'Q15022', 'AndrogenReceptor', 'O15240'})"
"frozenset({'P22735', 'AndrogenReceptor', 'Q96IK5'})"
"frozenset({'Q13555', 'AndrogenReceptor', 'P54289'})"
"frozenset({'AndrogenReceptor', 'A6NK59', 'P18085'})"
"frozenset({'Q9Y4K3', 'P30954', 'AndrogenReceptor'})"
"frozenset({'Q8NFH4', 'AndrogenReceptor', 'Q13573'})"
"frozenset({'Q9H251', 'Q15599', 'AndrogenReceptor'})"
"frozenset({'Q8NBW4', 'Q9UHA4', 'AndrogenReceptor'})"
"frozenset({'P49746', 'Q08J23', 'AndrogenReceptor'})"
"frozenset({'P56945', 'Q9P2T1', 'AndrogenReceptor'})"
"frozenset({'P07947', 'AndrogenReceptor', 'Q05397'})"
"frozenset({'Q9H492', 'Q05639', 'AndrogenReceptor'})"
"frozenset({'P00533', 'AndrogenReceptor', 'P08631'})"
"frozenset({'AndrogenReceptor', 'Q08379', 'P49863'})"
"frozenset({'Q6NT76', 'AndrogenReceptor', 'Q92785'})"
"frozenset({'Q92793', 'P51812', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9NR50', 'Q99571'})"
"frozenset({'P01569', 'P40238', 'AndrogenReceptor'})"
"frozenset({'Q99459', 'Q8N726', 'AndrogenReceptor'})"
"frozenset({'O43353', 'AndrogenReceptor', 'Q9NYJ8'})"
"frozenset({'AndrogenReceptor', 'P35232', 'Q16643'})"
"frozenset({'P30291', 'Q9ULD4', 'AndrogenReceptor'})"
"frozenset({'Q92793', 'AndrogenReceptor', 'P16455'})"
"frozenset({'P60484', 'AndrogenReceptor', 'Q9BU70'})"
"frozenset({'AndrogenReceptor', 'P17980', 'Q14318'})"
"frozenset({'AndrogenReceptor', 'Q7KZ85', 'P23193'})"
"frozenset({'Q53EZ4', 'AndrogenReceptor', 'Q9BQ95'})"
"frozenset({'O95714', 'AndrogenReceptor', 'O94763'})"
"frozenset({'O60260', 'AndrogenReceptor', 'P10809'})"
"frozenset({'AndrogenReceptor', 'Q8N3V7', 'P14384'})"
"frozenset({'Q96AJ1', 'Q13099', 'AndrogenReceptor'})"
"frozenset({'Q13838', 'AndrogenReceptor', 'P04844'})"
"frozenset({'P23921', 'AndrogenReceptor', 'O75665'})"
"frozenset({'AndrogenReceptor', 'Q13387', 'P53779'})"
"frozenset({'P36888', 'AndrogenReceptor', 'P49771'})"
"frozenset({'P25788', 'P07910', 'AndrogenReceptor'})"
"frozenset({'O43889', 'AndrogenReceptor', 'Q13555'})"
"frozenset({'P98179', 'AndrogenReceptor', 'Q15717'})"
"frozenset({'P48775', 'AndrogenReceptor', 'Q04864'})"
"frozenset({'AndrogenReceptor', 'P36543', 'Q93050'})"
"frozenset({'O14610', 'AndrogenReceptor', 'Q9Y272'})"
"frozenset({'Q9HCE1', 'AndrogenReceptor', 'P84157'})"
"frozenset({'Q9H2U2', 'Q8NCN5', 'AndrogenReceptor'})"
"frozenset({'Q6NYC8', 'P57721', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P32121', 'Q13367'})"
"frozenset({'Q8NGN4', 'AndrogenReceptor', 'P22612'})"
"frozenset({'Q9Y5S2', 'Q13163', 'AndrogenReceptor'})"
"frozenset({'P03372', 'Q14157', 'AndrogenReceptor'})"
"frozenset({'Q9H814', 'AndrogenReceptor', 'Q6ZN17'})"
"frozenset({'Q9Y295', 'AndrogenReceptor', 'P39748'})"
"frozenset({'P29692', 'O60739', 'AndrogenReceptor'})"
"frozenset({'Q9UQL6', 'AndrogenReceptor', 'O43248'})"
"frozenset({'Q15750', 'AndrogenReceptor', 'Q7L266'})"
"frozenset({'P60891', 'Q9HC35', 'AndrogenReceptor'})"
"frozenset({'Q13515', 'Q6ZUJ4', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P62899', 'P09913'})"
"frozenset({'Q9BT49', 'AndrogenReceptor', 'O95967'})"
"frozenset({'P40429', 'Q6NUN9', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9BV68', 'Q9P2S5'})"
"frozenset({'Q9H814', 'AndrogenReceptor', 'P09661'})"
"frozenset({'P31946', 'P04629', 'AndrogenReceptor'})"
"frozenset({'P10451', 'P35680', 'AndrogenReceptor'})"
"frozenset({'P38405', 'A6NDL8', 'AndrogenReceptor'})"
