negatives
"frozenset({'Q2MV58', 'Prolactin', 'Q9P0I2'})"
"frozenset({'P09234', 'Prolactin', 'P0C853'})"
"frozenset({'Prolactin', 'Q03135', 'Q9Y3E0'})"
"frozenset({'Prolactin', 'P62753', 'P62917'})"
"frozenset({'Prolactin', 'Q9NRC8', 'P18669'})"
"frozenset({'Q8N6M0', 'P50579', 'Prolactin'})"
"frozenset({'Prolactin', 'O94986', 'P63167'})"
"frozenset({'Prolactin', 'P30480', 'P56192'})"
"frozenset({'Q96L73', 'Prolactin', 'Q15406'})"
"frozenset({'Q9P2F6', 'Prolactin', 'P08134'})"
"frozenset({'P23468', 'O60939', 'Prolactin'})"
"frozenset({'O96017', 'Prolactin', 'Q5VTR2'})"
"frozenset({'Prolactin', 'Q5SSJ5', 'O75147'})"
"frozenset({'Prolactin', 'Q9UNM6', 'Q13151'})"
"frozenset({'Prolactin', 'P49137', 'Q00987'})"
"frozenset({'Prolactin', 'P49815', 'P67775'})"
"frozenset({'Prolactin', 'P20849', 'P18564'})"
"frozenset({'Prolactin', 'Q9HC57', 'Q12829'})"
"frozenset({'Prolactin', 'Q86XA9', 'Q13889'})"
"frozenset({'Prolactin', 'P62837', 'Q96BQ3'})"
"frozenset({'Q9Y4B6', 'P55895', 'Prolactin'})"
"frozenset({'Prolactin', 'Q15262', 'Q6UVY6'})"
"frozenset({'Prolactin', 'Q96LK0', 'Q86U44'})"
"frozenset({'Q8NFJ9', 'Prolactin', 'Q9BV68'})"
"frozenset({'Prolactin', 'Q13084', 'P09651'})"
"frozenset({'Prolactin', 'Q8TEC5', 'A8MQ03'})"
"frozenset({'Prolactin', 'O14717', 'Q9ULG6'})"
"frozenset({'Q9P2P5', 'Prolactin', 'Q9Y3L3'})"
"frozenset({'Prolactin', 'P12110', 'P18827'})"
"frozenset({'Prolactin', 'Q6ZN18', 'Q9Y297'})"
"frozenset({'Prolactin', 'P53674', 'P05813'})"
"frozenset({'Prolactin', 'Q02978', 'O00483'})"
"frozenset({'Q92541', 'Q6P1J9', 'Prolactin'})"
"frozenset({'Q9BYR6', 'Prolactin', 'O95231'})"
"frozenset({'Prolactin', 'Q969P0', 'P60410'})"
"frozenset({'Prolactin', 'Q9NR45', 'P01106'})"
"frozenset({'Prolactin', 'Q8N2W9', 'O14981'})"
"frozenset({'P50895', 'Prolactin', 'P63279'})"
"frozenset({'Prolactin', 'Q12772', 'P20036'})"
"frozenset({'Q8N7W2', 'P26368', 'Prolactin'})"
"frozenset({'Prolactin', 'P84077', 'P13612'})"
"frozenset({'Prolactin', 'P05549', 'Q9UPM8'})"
"frozenset({'Q9UBD5', 'Q9Y6A5', 'Prolactin'})"
"frozenset({'Prolactin', 'P30153', 'O43768'})"
"frozenset({'Q9BXV9', 'Q92747', 'Prolactin'})"
"frozenset({'Prolactin', 'P46100', 'P83916'})"
"frozenset({'Prolactin', 'O95139', 'O96000'})"
"frozenset({'Q7Z2H8', 'Prolactin', 'P56381'})"
"frozenset({'P42574', 'Prolactin', 'Q9NR09'})"
"frozenset({'Prolactin', 'Q9P253', 'Q9UMS6'})"
"frozenset({'P49639', 'Prolactin', 'Q8IZD9'})"
"frozenset({'Prolactin', 'P06493', 'P00338'})"
"frozenset({'Q96KR1', 'Prolactin', 'Q12905'})"
"frozenset({'Q9Y4G8', 'Prolactin', 'Q07889'})"
"frozenset({'Prolactin', 'Q9NPJ6', 'Q969G3'})"
"frozenset({'Q8IZP0', 'Prolactin', 'P19174'})"
"frozenset({'Prolactin', 'Q8NEV9', 'Q14653'})"
"frozenset({'Prolactin', 'Q969P0', 'Q9UQ16'})"
"frozenset({'Prolactin', 'O43541', 'P62979'})"
"frozenset({'Q66LE6', 'Prolactin', 'P13994'})"
"frozenset({'P54368', 'Q9Y6K0', 'Prolactin'})"
"frozenset({'Prolactin', 'O75581', 'Q9UP38'})"
"frozenset({'Prolactin', 'Q92747', 'O15144'})"
"frozenset({'Prolactin', 'Q9UBD3', 'P32246'})"
"frozenset({'Prolactin', 'Q9Y6Q9', 'Q13526'})"
"frozenset({'Q8TED0', 'Q8TDN6', 'Prolactin'})"
"frozenset({'Prolactin', 'Q9Y644', 'Q9UM47'})"
"frozenset({'P62879', 'Prolactin', 'Q9HBW0'})"
"frozenset({'Prolactin', 'O60245', 'Q13315'})"
"frozenset({'Prolactin', 'P06753', 'Q02790'})"
"frozenset({'A0FGR8', 'Prolactin', 'Q99549'})"
"frozenset({'P62847', 'Prolactin', 'P62829'})"
"frozenset({'Prolactin', 'Q9H257', 'P55081'})"
"frozenset({'O60934', 'Q68E01', 'Prolactin'})"
"frozenset({'Prolactin', 'O95104', 'Q15717'})"
"frozenset({'Q96AZ1', 'Prolactin', 'O75663'})"
"frozenset({'Q13283', 'Prolactin', 'Q8WYA6'})"
"frozenset({'Prolactin', 'Q9H808', 'P50914'})"
"frozenset({'Prolactin', 'Q969P0', 'P31943'})"
"frozenset({'P05412', 'Prolactin', 'P42285'})"
"frozenset({'P11308', 'Prolactin', 'P28482'})"
"frozenset({'Prolactin', 'Q14974', 'P36873'})"
"frozenset({'Prolactin', 'P62993', 'O94907'})"
"frozenset({'P61353', 'P08708', 'Prolactin'})"
"frozenset({'Prolactin', 'Q06730', 'Q9NYL2'})"
"frozenset({'Prolactin', 'P35998', 'Q9NRD1'})"
"frozenset({'Prolactin', 'P50402', 'Q9C005'})"
"frozenset({'P62136', 'Prolactin', 'O14990'})"
"frozenset({'P15289', 'Prolactin', 'Q15262'})"
"frozenset({'Prolactin', 'Q86XA0', 'P49368'})"
"frozenset({'Q8WXH5', 'Prolactin', 'O60674'})"
"frozenset({'Prolactin', 'B2RPK0', 'P61221'})"
"frozenset({'Q9H3D4', 'Prolactin', 'Q9NZI8'})"
"frozenset({'Prolactin', 'P26678', 'Q9BVX2'})"
"frozenset({'Prolactin', 'Q71SY5', 'O95402'})"
"frozenset({'Prolactin', 'P19447', 'P01106'})"
"frozenset({'Prolactin', 'Q9H0W5', 'P27348'})"
"frozenset({'Q9Y450', 'Prolactin', 'O14810'})"
"frozenset({'O15121', 'Prolactin', 'P18146'})"
"frozenset({'Prolactin', 'Q92665', 'Q9BYN8'})"
"frozenset({'Prolactin', 'Q9P015', 'Q96DV4'})"
"frozenset({'P05412', 'Prolactin', 'P10276'})"
"frozenset({'Q9C0B0', 'Prolactin', 'O14929'})"
"frozenset({'P12236', 'Prolactin', 'Q9Y6K9'})"
"frozenset({'Prolactin', 'P39023', 'Q9NX58'})"
"frozenset({'P30084', 'Prolactin', 'P11171'})"
"frozenset({'P12931', 'Prolactin', 'P42226'})"
"frozenset({'Prolactin', 'Q03405', 'Q6PI48'})"
"frozenset({'Prolactin', 'P51668', 'Q96Q27'})"
"frozenset({'Q13227', 'Prolactin', 'Q9Y2I6'})"
"frozenset({'Prolactin', 'Q99933', 'Q9UDY4'})"
"frozenset({'P31321', 'Prolactin', 'Q8IYS8'})"
"frozenset({'Q9ULV4', 'Q15717', 'Prolactin'})"
"frozenset({'Q9NRR5', 'Prolactin', 'P30040'})"
"frozenset({'Prolactin', 'Q15459', 'Q9UMS4'})"
"frozenset({'Q13698', 'P17612', 'Prolactin'})"
"frozenset({'Q13323', 'Prolactin', 'Q5TGU0'})"
"frozenset({'Q12874', 'Prolactin', 'P09012'})"
"frozenset({'P30049', 'Prolactin', 'O75964'})"
"frozenset({'Prolactin', 'P24311', 'Q8IWL3'})"
"frozenset({'Prolactin', 'Q16288', 'P12980'})"
"frozenset({'Prolactin', 'O94986', 'Q9BY89'})"
"frozenset({'Prolactin', 'P27487', 'P08575'})"
"frozenset({'P62310', 'Prolactin', 'P13612'})"
"frozenset({'Prolactin', 'P11831', 'O75582'})"
"frozenset({'Prolactin', 'Q01968', 'Q9NRW7'})"
"frozenset({'Prolactin', 'Q49AN0', 'P15880'})"
"frozenset({'Prolactin', 'Q9BUV8', 'Q9UBU9'})"
"frozenset({'O96017', 'Prolactin', 'Q16537'})"
"frozenset({'P45983', 'Prolactin', 'P10636'})"
"frozenset({'Prolactin', 'Q15370', 'Q15714'})"
"frozenset({'Prolactin', 'P11245', 'O14965'})"
"frozenset({'Prolactin', 'A2VDJ0', 'P54709'})"
"frozenset({'Q13794', 'Prolactin', 'Q05516'})"
"frozenset({'Prolactin', 'Q9NRD1', 'Q9UJZ1'})"
"frozenset({'P05412', 'O00327', 'Prolactin'})"
"frozenset({'P55327', 'Prolactin', 'P78362'})"
"frozenset({'Q9P2P5', 'Prolactin', 'Q15269'})"
"frozenset({'Prolactin', 'Q9P086', 'O75448'})"
"frozenset({'Prolactin', 'P08133', 'O75874'})"
"frozenset({'Q13162', 'Prolactin', 'Q06830'})"
"frozenset({'Prolactin', 'Q9NYJ7', 'Q99466'})"
"frozenset({'Prolactin', 'Q06323', 'P28062'})"
"frozenset({'Prolactin', 'Q14CS0', 'Q9GZN1'})"
"frozenset({'Prolactin', 'Q8N5Y8', 'Q9NU22'})"
"frozenset({'Q96IK5', 'Prolactin', 'Q8N5J2'})"
"frozenset({'Prolactin', 'P33981', 'Q96E14'})"
"frozenset({'Prolactin', 'P62081', 'P26373'})"
"frozenset({'Prolactin', 'Q96KC8', 'P02545'})"
"frozenset({'Q06710', 'Prolactin', 'P01266'})"
"frozenset({'Prolactin', 'O15357', 'P34931'})"
"frozenset({'O43147', 'Prolactin', 'Q00013'})"
"frozenset({'Prolactin', 'P04183', 'Q8IXL6'})"
"frozenset({'Q8N5N7', 'Q14683', 'Prolactin'})"
"frozenset({'Prolactin', 'Q15910', 'Q8TB24'})"
"frozenset({'Prolactin', 'P49720', 'Q16401'})"
"frozenset({'Prolactin', 'P08151', 'P06748'})"
"frozenset({'Prolactin', 'Q8WZA2', 'Q16539'})"
"frozenset({'P24394', 'Prolactin', 'P35568'})"
"frozenset({'Prolactin', 'Q9BYM8', 'Q13077'})"
"frozenset({'Prolactin', 'P51677', 'P80075'})"
"frozenset({'Prolactin', 'P08238', 'Q9NY57'})"
"frozenset({'Q9HAV5', 'Q8N5M9', 'Prolactin'})"
"frozenset({'P05412', 'P45985', 'Prolactin'})"
"frozenset({'Prolactin', 'Q6UN15', 'P33240'})"
"frozenset({'Q92796', 'A4D1P6', 'Prolactin'})"
"frozenset({'Q15172', 'Prolactin', 'Q562F6'})"
"frozenset({'Prolactin', 'O75478', 'O94906'})"
"frozenset({'Prolactin', 'Q96BK5', 'Q96EQ0'})"
"frozenset({'Prolactin', 'P62993', 'Q9UL51'})"
"frozenset({'O75031', 'Prolactin', 'Q14D33'})"
"frozenset({'Prolactin', 'O14920', 'Q70UQ0'})"
"frozenset({'Prolactin', 'Q96MM3', 'Q8N488'})"
"frozenset({'Prolactin', 'P14174', 'Q9UNE7'})"
"frozenset({'Prolactin', 'P51858', 'Q92769'})"
"frozenset({'Q92598', 'Prolactin', 'P35241'})"
"frozenset({'P46976', 'Prolactin', 'P0C862'})"
"frozenset({'Q9NYL9', 'Prolactin', 'Q9UHB6'})"
"frozenset({'Q13698', 'Prolactin', 'Q86UT5'})"
"frozenset({'Prolactin', 'P15336', 'P27361'})"
"frozenset({'Prolactin', 'Q7L273', 'Q15654'})"
"frozenset({'Q99612', 'Prolactin', 'Q12789'})"
"frozenset({'Prolactin', 'P25098', 'Q5JQS5'})"
"frozenset({'P62195', 'Prolactin', 'Q13371'})"
"frozenset({'Prolactin', 'Q9HAW4', 'P35244'})"
"frozenset({'Prolactin', 'Q15393', 'Q9NRD1'})"
"frozenset({'Prolactin', 'Q15029', 'Q08211'})"
"frozenset({'Q9NVH0', 'Prolactin', 'Q9H0W5'})"
"frozenset({'Prolactin', 'Q9BXW4', 'Q9NT62'})"
"frozenset({'Prolactin', 'O14964', 'Q9Y4K3'})"
"frozenset({'Q969U6', 'Prolactin', 'P62877'})"
"frozenset({'Prolactin', 'A6NEM1', 'Q6ZNH5'})"
"frozenset({'Prolactin', 'P61457', 'Q9Y520'})"
"frozenset({'Q92764', 'P03372', 'Prolactin'})"
"frozenset({'Prolactin', 'Q5T3J3', 'O43657'})"
"frozenset({'Prolactin', 'Q9NU53', 'P36894'})"
"frozenset({'Prolactin', 'O75964', 'Q9H845'})"
"frozenset({'Prolactin', 'P63261', 'P49863'})"
"frozenset({'Q06265', 'Prolactin', 'O75147'})"
"frozenset({'Prolactin', 'O14979', 'Q13616'})"
"frozenset({'Prolactin', 'O95831', 'P49411'})"
"frozenset({'Q99832', 'Prolactin', 'Q6PEY2'})"
"frozenset({'Prolactin', 'P01589', 'P40933'})"
"frozenset({'Prolactin', 'P12755', 'Q99504'})"
"frozenset({'Prolactin', 'Q00535', 'P10275'})"
"frozenset({'P24863', 'Prolactin', 'O95402'})"
"frozenset({'Prolactin', 'Q9UIA9', 'P06733'})"
"frozenset({'Q13492', 'P49589', 'Prolactin'})"
"frozenset({'O96017', 'Q5T4S7', 'Prolactin'})"
"frozenset({'Prolactin', 'P78371', 'P53779'})"
"frozenset({'Q9BUB5', 'Prolactin', 'P08238'})"
"frozenset({'P05067', 'Prolactin', 'Q9BV97'})"
"frozenset({'Prolactin', 'P13637', 'P04629'})"
"frozenset({'Q9P2Y4', 'Prolactin', 'Q8TDI0'})"
"frozenset({'Prolactin', 'Q9NZ45', 'O96008'})"
"frozenset({'Prolactin', 'P55263', 'Q96EP5'})"
"frozenset({'Prolactin', 'O75061', 'O95816'})"
"frozenset({'O60262', 'Prolactin', 'O60431'})"
"frozenset({'P52848', 'P13010', 'Prolactin'})"
"frozenset({'P56385', 'Prolactin', 'Q49A88'})"
"frozenset({'Q9BYI3', 'P43657', 'Prolactin'})"
"frozenset({'P09017', 'Prolactin', 'Q9NQG5'})"
"frozenset({'Q15084', 'Prolactin', 'P16871'})"
"frozenset({'P31946', 'Prolactin', 'O60333'})"
"frozenset({'Prolactin', 'Q9Y6H1', 'Q86V81'})"
"frozenset({'Prolactin', 'Q8WVM7', 'Q12952'})"
"frozenset({'Q8WTR7', 'P15622', 'Prolactin'})"
"frozenset({'Prolactin', 'Q15545', 'Q8IYM9'})"
"frozenset({'Prolactin', 'Q08999', 'P15172'})"
"frozenset({'Prolactin', 'Q52LR7', 'Q9HBJ0'})"
"frozenset({'P41743', 'Prolactin', 'Q9H0R8'})"
"frozenset({'Prolactin', 'P27487', 'Q07325'})"
"frozenset({'P18615', 'Prolactin', 'P28070'})"
"frozenset({'Q9HAT2', 'P16870', 'Prolactin'})"
"frozenset({'P03897', 'Prolactin', 'P03915'})"
"frozenset({'Q9Y250', 'P62875', 'Prolactin'})"
"frozenset({'Prolactin', 'Q99460', 'P17028'})"
"frozenset({'Prolactin', 'Q9UQ90', 'Q9BQ66'})"
"frozenset({'Prolactin', 'P04637', 'P07203'})"
"frozenset({'Q92997', 'O43159', 'Prolactin'})"
"frozenset({'Prolactin', 'Q9BSJ8', 'Q8TC12'})"
"frozenset({'Prolactin', 'P30153', 'Q9Y697'})"
"frozenset({'Q16637', 'Prolactin', 'P31943'})"
"frozenset({'Q9P2R7', 'Prolactin', 'P22557'})"
"frozenset({'Q16851', 'Prolactin', 'O75534'})"
"frozenset({'Prolactin', 'Q8IWL3', 'Q6NTF9'})"
"frozenset({'Q9P0U3', 'Prolactin', 'P18146'})"
"frozenset({'P07602', 'Prolactin', 'O15260'})"
"frozenset({'P08865', 'P27635', 'Prolactin'})"
"frozenset({'Q96FV3', 'Prolactin', 'Q13404'})"
"frozenset({'P43364', 'Prolactin', 'Q96FE7'})"
"frozenset({'Prolactin', 'Q9NPI6', 'Q9Y4F3'})"
"frozenset({'Prolactin', 'P02751', 'P56199'})"
"frozenset({'Q9UBS0', 'Prolactin', 'P63151'})"
"frozenset({'Prolactin', 'Q9H6L4', 'Q13422'})"
"frozenset({'Prolactin', 'Q8NBX0', 'Q7Z5K2'})"
"frozenset({'O15432', 'Prolactin', 'O60895'})"
"frozenset({'Prolactin', 'Q96DH6', 'P09651'})"
"frozenset({'Q7Z6G8', 'P28223', 'Prolactin'})"
"frozenset({'Prolactin', 'P13489', 'P04629'})"
"frozenset({'Prolactin', 'Q9NXB0', 'Q9UPM9'})"
"frozenset({'Prolactin', 'O94901', 'Q8WXA8'})"
"frozenset({'Prolactin', 'P57086', 'O14771'})"
"frozenset({'Q71U36', 'Prolactin', 'P43034'})"
"frozenset({'Prolactin', 'P31749', 'Q04864'})"
"frozenset({'Prolactin', 'Q9UNE7', 'P06733'})"
"frozenset({'Prolactin', 'P02751', 'O43143'})"
"frozenset({'Prolactin', 'P38159', 'O75147'})"
"frozenset({'Prolactin', 'P11441', 'P63267'})"
"frozenset({'Prolactin', 'Q9HCE7', 'P24928'})"
"frozenset({'Prolactin', 'P08684', 'P16662'})"
"frozenset({'Prolactin', 'O95168', 'P03886'})"
"frozenset({'Prolactin', 'Q04837', 'P45880'})"
"frozenset({'Prolactin', 'Q86SQ4', 'Q15750'})"
"frozenset({'Prolactin', 'Q86VP1', 'Q494U1'})"
"frozenset({'Prolactin', 'P05412', 'Q13435'})"
"frozenset({'Prolactin', 'P12830', 'Q13905'})"
"frozenset({'Q13153', 'Prolactin', 'P36507'})"
"frozenset({'Q2KHM9', 'Q8IX90', 'Prolactin'})"
"frozenset({'Prolactin', 'P22087', 'Q9NX24'})"
"frozenset({'P29460', 'Prolactin', 'Q9UHF4'})"
"frozenset({'Prolactin', 'P31947', 'Q53FD0'})"
"frozenset({'Prolactin', 'P05114', 'Q13315'})"
"frozenset({'Q13064', 'Prolactin', 'Q9Y2V7'})"
"frozenset({'Prolactin', 'P27348', 'P35558'})"
"frozenset({'Prolactin', 'Q5TD97', 'P27918'})"
"frozenset({'Prolactin', 'Q9H444', 'Q93050'})"
"frozenset({'P24864', 'Prolactin', 'P30260'})"
"frozenset({'Prolactin', 'P52292', 'P50750'})"
"frozenset({'Q13009', 'Prolactin', 'P31749'})"
"frozenset({'Prolactin', 'P04844', 'Q9Y679'})"
"frozenset({'O14562', 'Prolactin', 'P07195'})"
"frozenset({'Prolactin', 'P31939', 'O43252'})"
"frozenset({'P26368', 'P23381', 'Prolactin'})"
"frozenset({'Prolactin', 'P17302', 'Q07157'})"
"frozenset({'Prolactin', 'Q9BUV0', 'P49761'})"
"frozenset({'Prolactin', 'Q9H4B6', 'P83881'})"
"frozenset({'Prolactin', 'Q9H6Z9', 'Q9H4L5'})"
"frozenset({'Prolactin', 'P19320', 'P26640'})"
"frozenset({'Q13416', 'Prolactin', 'P52732'})"
"frozenset({'Q8TF05', 'Prolactin', 'O75448'})"
"frozenset({'O75446', 'Prolactin', 'P24385'})"
"frozenset({'Prolactin', 'P46527', 'P31751'})"
"frozenset({'Q7Z3S9', 'Q02930', 'Prolactin'})"
"frozenset({'P48645', 'Q7Z3S9', 'Prolactin'})"
"frozenset({'Prolactin', 'Q9NTW7', 'Q9UC06'})"
"frozenset({'Prolactin', 'P20618', 'Q9NZD4'})"
"frozenset({'P48634', 'Prolactin', 'Q10570'})"
"frozenset({'P82664', 'Prolactin', 'Q8IXZ2'})"
"frozenset({'Prolactin', 'Q8TDR0', 'P27816'})"
"frozenset({'P08708', 'Prolactin', 'P60520'})"
"frozenset({'O14579', 'P06748', 'Prolactin'})"
"frozenset({'P08048', 'Prolactin', 'Q9C086'})"
"frozenset({'Prolactin', 'O43488', 'P62191'})"
"frozenset({'Prolactin', 'P78543', 'P31273'})"
"frozenset({'Prolactin', 'Q9BZ76', 'Q16635'})"
"frozenset({'Prolactin', 'Q6NUK4', 'P31947'})"
"frozenset({'Q9Y6M9', 'Prolactin', 'O14561'})"
"frozenset({'Prolactin', 'P06127', 'P43403'})"
"frozenset({'Q9C0C7', 'P61077', 'Prolactin'})"
"frozenset({'Prolactin', 'Q5VT52', 'P68400'})"
"frozenset({'P49286', 'O00327', 'Prolactin'})"
"frozenset({'P62241', 'Prolactin', 'P62266'})"
"frozenset({'Q8IVT5', 'Prolactin', 'P02786'})"
"frozenset({'Prolactin', 'Q8TAP6', 'Q9NQ66'})"
"frozenset({'O75146', 'Prolactin', 'Q99816'})"
"frozenset({'Prolactin', 'Q2NL82', 'Q9NQ50'})"
"frozenset({'Prolactin', 'Q5SW79', 'Q6XUX3'})"
"frozenset({'Q9UL03', 'Prolactin', 'Q9HAU5'})"
"frozenset({'Prolactin', 'Q99638', 'O75943'})"
"frozenset({'Q9C0C2', 'Prolactin', 'Q9HBM1'})"
"frozenset({'P15502', 'Prolactin', 'P35555'})"
"frozenset({'P26045', 'P31749', 'Prolactin'})"
"frozenset({'Prolactin', 'Q9UBQ7', 'P05141'})"
"frozenset({'Q09028', 'Prolactin', 'O15379'})"
"frozenset({'P26368', 'Prolactin', 'Q99459'})"
"frozenset({'Prolactin', 'Q14831', 'P16520'})"
"frozenset({'Prolactin', 'P49407', 'Q8NGI4'})"
"frozenset({'Prolactin', 'Q96CS3', 'P04114'})"
"frozenset({'Prolactin', 'Q9NRC8', 'O96028'})"
"frozenset({'Q9P2D0', 'Prolactin', 'P42677'})"
"frozenset({'Q8N5Z5', 'P51668', 'Prolactin'})"
"frozenset({'Q86U38', 'Prolactin', 'O95084'})"
"frozenset({'Q86SQ0', 'Prolactin', 'O60307'})"
"frozenset({'Q04724', 'Prolactin', 'O95475'})"
"frozenset({'Prolactin', 'Q9H2D6', 'Q96GS4'})"
"frozenset({'Prolactin', 'Q9H0W5', 'Q9Y4W6'})"
"frozenset({'Q4VCS5', 'Q9NVX0', 'Prolactin'})"
"frozenset({'Prolactin', 'P62945', 'P84098'})"
"frozenset({'Prolactin', 'Q9UNF0', 'Q9NYB0'})"
"frozenset({'P27694', 'Prolactin', 'Q13263'})"
"frozenset({'Prolactin', 'P13569', 'Q16082'})"
"frozenset({'Q9NYA3', 'Prolactin', 'Q14241'})"
"frozenset({'P41229', 'Q92769', 'Prolactin'})"
"frozenset({'Prolactin', 'P18847', 'P22607'})"
"frozenset({'P83731', 'P60033', 'Prolactin'})"
"frozenset({'P04908', 'Prolactin', 'P27361'})"
"frozenset({'Prolactin', 'P15976', 'P04792'})"
"frozenset({'Prolactin', 'O14497', 'P04637'})"
"frozenset({'Prolactin', 'P15336', 'P40926'})"
"frozenset({'O75503', 'Prolactin', 'Q15262'})"
"frozenset({'P15151', 'Prolactin', 'Q9H4A3'})"
"frozenset({'Prolactin', 'Q96PU5', 'Q96G27'})"
"frozenset({'Q9NRR5', 'Prolactin', 'Q96DN0'})"
"frozenset({'Prolactin', 'Q9H0I2', 'P36873'})"
"frozenset({'Prolactin', 'Q00610', 'O75674'})"
"frozenset({'P53396', 'Prolactin', 'O95433'})"
"frozenset({'Q13185', 'Prolactin', 'Q96P20'})"
"frozenset({'Prolactin', 'P52907', 'Q9NRD1'})"
"frozenset({'Prolactin', 'Q9P0M9', 'Q13643'})"
"frozenset({'Prolactin', 'P40692', 'Q96EB6'})"
"frozenset({'Prolactin', 'P32856', 'P06733'})"
"frozenset({'Q96SN8', 'Q14314', 'Prolactin'})"
"frozenset({'Prolactin', 'Q9NZT1', 'Q93100'})"
"frozenset({'Prolactin', 'Q9BZL3', 'Q9H2H9'})"
"frozenset({'Prolactin', 'O00400', 'Q03518'})"
"frozenset({'Prolactin', 'Q9C0D3', 'Q13618'})"
"frozenset({'Prolactin', 'Q9NZ01', 'P11142'})"
"frozenset({'P62330', 'Prolactin', 'P39656'})"
"frozenset({'Prolactin', 'O14980', 'Q8IXJ6'})"
"frozenset({'Prolactin', 'P62701', 'P46778'})"
"frozenset({'Prolactin', 'Q86VP6', 'P24534'})"
"frozenset({'Prolactin', 'A6NHL2', 'Q99496'})"
"frozenset({'Prolactin', 'Q86X19', 'P53680'})"
"frozenset({'Prolactin', 'Q13490', 'Q6UXN9'})"
"frozenset({'Prolactin', 'P78310', 'Q86YT9'})"
"frozenset({'Prolactin', 'Q02413', 'Q6SPF0'})"
"frozenset({'O94885', 'Prolactin', 'Q9Y4K3'})"
"frozenset({'Prolactin', 'P00352', 'P05091'})"
"frozenset({'Q6IFG1', 'Prolactin', 'O60262'})"
"frozenset({'Prolactin', 'P05023', 'O43181'})"
"frozenset({'Q13185', 'Prolactin', 'O75530'})"
"frozenset({'O60383', 'Prolactin', 'P62308'})"
"frozenset({'P27540', 'Prolactin', 'Q96S44'})"
"frozenset({'P05423', 'Q9NWS0', 'Prolactin'})"
"frozenset({'Prolactin', 'Q05639', 'P05161'})"
"frozenset({'Prolactin', 'P52888', 'P55809'})"
"frozenset({'Prolactin', 'P16104', 'Q9NY27'})"
"frozenset({'Q5T2D2', 'Prolactin', 'O60749'})"
"frozenset({'Prolactin', 'Q00839', 'Q00987'})"
"frozenset({'Q8WVT3', 'Prolactin', 'Q86SZ2'})"
"frozenset({'Prolactin', 'Q9UBU9', 'P16591'})"
"frozenset({'O76015', 'Prolactin', 'Q8TAU3'})"
"frozenset({'P42345', 'Prolactin', 'P0DMV9'})"
"frozenset({'Prolactin', 'Q15165', 'P21860'})"
